B2,B3,B4,B8,B11,B12,NDVI,NDMI,NBR,BSI,EVI,Elevation,Slope,Eastness,Northness,Label
0.0463677,0.0673378,0.06587565,0.24836898,0.21396491,0.12416281,0.5807365,0.0744139,0.33341092,-0.025925359,0.3520685,703.0,21.476461,-0.93301314,-0.31903833,1
0.039551497,0.06156855,0.046270154,0.282171,0.18959126,0.09930212,0.7182439,0.19624238,0.47937554,-0.15398775,0.46688792,404.0,24.084732,0.31883994,0.9438093,1
0.042562466,0.0636863,0.05780299,0.2580328,0.20190223,0.11477411,0.63396806,0.12204023,0.3842705,-0.07297879,0.38936058,435.0,21.94616,0.9749551,0.101031065,1
0.041836698,0.06328482,0.04726578,0.29047737,0.19588742,0.101900235,0.72010815,0.19448355,0.48060116,-0.15493648,0.48244902,723.0,22.030357,-0.65995616,0.67983776,1
0.04612042,0.0673629,0.05828269,0.2729859,0.2102306,0.11475916,0.6481243,0.12986994,0.408069,-0.08609827,0.42040014,589.0,25.205156,0.78092295,-0.6243266,1
0.041354712,0.062922835,0.047055785,0.2887254,0.19455945,0.101352245,0.7197235,0.19484565,0.48034838,-0.15474129,0.47916105,558.0,31.037397,0.89478683,0.44254842,1
0.04267487,0.06394904,0.05599219,0.2645705,0.20131922,0.11227913,0.6506631,0.13576451,0.40411708,-0.088448085,0.4072325,394.0,23.338737,0.5626244,-0.8155664,1
0.04320215,0.06431033,0.047860686,0.29544058,0.1996495,0.10345265,0.7211738,0.19348213,0.48130155,-0.15547572,0.49178085,724.0,21.948153,0.29302782,0.9284671,1
0.043625526,0.06386688,0.06547189,0.2380273,0.20821212,0.12593797,0.56855315,0.06681432,0.30796713,-0.014349527,0.3309039,576.0,20.950464,-0.7295349,-0.6765273,1
0.04214099,0.062017724,0.064964026,0.23337837,0.20495656,0.1264849,0.5645002,0.064840384,0.29703912,-0.0102646835,0.32211325,367.0,19.138542,0.32155964,0.9064039,1
